"","consequence_id","consequence_name"
"1",1,"3_prime_UTR_variant"
"2",2,"3_prime_UTR_variant&feature_elongation"
"3",3,"3_prime_UTR_variant&feature_truncation"
"4",4,"3_prime_UTR_variant&NMD_transcript_variant"
"5",5,"3_prime_UTR_variant&NMD_transcript_variant&feature_elongation"
"6",6,"3_prime_UTR_variant&NMD_transcript_variant&feature_truncation"
"7",7,"5_prime_UTR_variant"
"8",8,"5_prime_UTR_variant&feature_elongation"
"9",9,"5_prime_UTR_variant&feature_truncation"
"10",10,"5_prime_UTR_variant&NMD_transcript_variant"
"11",11,"5_prime_UTR_variant&NMD_transcript_variant&feature_elongation"
"12",12,"5_prime_UTR_variant&NMD_transcript_variant&feature_truncation"
"13",13,"coding_sequence_variant"
"14",14,"coding_sequence_variant&3_prime_UTR_variant&feature_elongation"
"15",15,"coding_sequence_variant&3_prime_UTR_variant&feature_truncation"
"16",16,"coding_sequence_variant&3_prime_UTR_variant&NMD_transcript_variant&feature_truncation"
"17",17,"coding_sequence_variant&5_prime_UTR_variant"
"18",18,"coding_sequence_variant&5_prime_UTR_variant&feature_elongation"
"19",19,"coding_sequence_variant&5_prime_UTR_variant&feature_truncation"
"20",20,"coding_sequence_variant&5_prime_UTR_variant&NMD_transcript_variant&feature_truncation"
"21",21,"coding_sequence_variant&feature_truncation"
"22",22,"coding_sequence_variant&NMD_transcript_variant"
"23",23,"downstream_gene_variant"
"24",24,"downstream_gene_variant&feature_elongation"
"25",25,"frameshift_variant&feature_elongation"
"26",26,"frameshift_variant&feature_truncation"
"27",27,"frameshift_variant&NMD_transcript_variant&feature_elongation"
"28",28,"frameshift_variant&NMD_transcript_variant&feature_truncation"
"29",29,"frameshift_variant&splice_region_variant&feature_elongation"
"30",30,"frameshift_variant&splice_region_variant&feature_truncation"
"31",31,"frameshift_variant&splice_region_variant&intron_variant&feature_elongation"
"32",32,"frameshift_variant&splice_region_variant&NMD_transcript_variant&feature_elongation"
"33",33,"frameshift_variant&splice_region_variant&NMD_transcript_variant&feature_truncation"
"34",34,"frameshift_variant&stop_lost"
"35",35,"frameshift_variant&stop_lost&feature_truncation"
"36",36,"frameshift_variant&stop_lost&NMD_transcript_variant"
"37",37,"frameshift_variant&stop_lost&NMD_transcript_variant&feature_truncation"
"38",38,"incomplete_terminal_codon_variant&coding_sequence_variant"
"39",39,"incomplete_terminal_codon_variant&coding_sequence_variant&feature_truncation"
"40",40,"inframe_deletion"
"41",41,"inframe_deletion&NMD_transcript_variant"
"42",42,"inframe_deletion&splice_region_variant"
"43",43,"inframe_deletion&splice_region_variant&NMD_transcript_variant"
"44",44,"inframe_deletion&stop_retained_variant"
"45",45,"inframe_insertion"
"46",46,"inframe_insertion&incomplete_terminal_codon_variant"
"47",47,"inframe_insertion&NMD_transcript_variant"
"48",48,"inframe_insertion&splice_region_variant"
"49",49,"inframe_insertion&splice_region_variant&NMD_transcript_variant"
"50",50,"inframe_insertion&stop_retained_variant"
"51",51,"inframe_insertion&stop_retained_variant&NMD_transcript_variant"
"52",52,"initiator_codon_variant"
"53",53,"initiator_codon_variant&inframe_insertion"
"54",54,"initiator_codon_variant&NMD_transcript_variant"
"55",55,"initiator_codon_variant&splice_region_variant"
"56",56,"intron_variant"
"57",57,"intron_variant&feature_elongation"
"58",58,"intron_variant&feature_truncation"
"59",59,"intron_variant&nc_transcript_variant"
"60",60,"intron_variant&nc_transcript_variant&feature_elongation"
"61",61,"intron_variant&nc_transcript_variant&feature_truncation"
"62",62,"intron_variant&NMD_transcript_variant"
"63",63,"intron_variant&NMD_transcript_variant&feature_elongation"
"64",64,"intron_variant&NMD_transcript_variant&feature_truncation"
"65",65,"mature_miRNA_variant"
"66",66,"missense_variant"
"67",67,"missense_variant&NMD_transcript_variant"
"68",68,"missense_variant&splice_region_variant"
"69",69,"missense_variant&splice_region_variant&NMD_transcript_variant"
"70",70,"nc_transcript_variant"
"71",71,"nc_transcript_variant&feature_elongation"
"72",72,"nc_transcript_variant&feature_truncation"
"73",73,"non_coding_exon_variant&nc_transcript_variant"
"74",74,"non_coding_exon_variant&nc_transcript_variant&feature_elongation"
"75",75,"non_coding_exon_variant&nc_transcript_variant&feature_truncation"
"76",76,"splice_acceptor_variant"
"77",77,"splice_acceptor_variant&3_prime_UTR_variant&intron_variant&feature_truncation"
"78",78,"splice_acceptor_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant&feature_truncation"
"79",79,"splice_acceptor_variant&3_prime_UTR_variant&NMD_transcript_variant&feature_truncation"
"80",80,"splice_acceptor_variant&5_prime_UTR_variant&feature_truncation"
"81",81,"splice_acceptor_variant&5_prime_UTR_variant&intron_variant&feature_elongation"
"82",82,"splice_acceptor_variant&5_prime_UTR_variant&intron_variant&feature_truncation"
"83",83,"splice_acceptor_variant&coding_sequence_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant&feature_truncation"
"84",84,"splice_acceptor_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant&feature_truncation"
"85",85,"splice_acceptor_variant&coding_sequence_variant&feature_elongation"
"86",86,"splice_acceptor_variant&coding_sequence_variant&feature_truncation"
