gene_name,gene_id,mgi_symbol
ENSMUSG00000000001,1,Gnai3
ENSMUSG00000000003,2,Pbsn
ENSMUSG00000000028,3,Cdc45
ENSMUSG00000000031,4,H19
ENSMUSG00000000037,5,Scml2
ENSMUSG00000000049,6,Apoh
ENSMUSG00000000056,7,Narf
ENSMUSG00000000058,8,Cav2
ENSMUSG00000000078,9,Klf6
ENSMUSG00000000085,10,Scmh1
ENSMUSG00000000088,11,Cox5a
ENSMUSG00000000093,12,Tbx2
ENSMUSG00000000094,13,Tbx4
ENSMUSG00000000103,14,Zfy2
ENSMUSG00000000120,15,Ngfr
ENSMUSG00000000125,16,Wnt3
ENSMUSG00000000126,17,Wnt9a
ENSMUSG00000000127,18,Fer
ENSMUSG00000000131,19,Xpo6
ENSMUSG00000000134,20,Tfe3
ENSMUSG00000000142,21,Axin2
ENSMUSG00000000148,22,Brat1
ENSMUSG00000000149,23,Gna12
ENSMUSG00000000154,24,Slc22a18
ENSMUSG00000000157,25,Itgb2l
ENSMUSG00000000159,26,Igsf5
ENSMUSG00000000167,27,Pih1d2
ENSMUSG00000000168,28,Dlat
ENSMUSG00000000171,29,Sdhd
ENSMUSG00000000182,30,Fgf23
ENSMUSG00000000183,31,Fgf6
ENSMUSG00000000184,32,Ccnd2
ENSMUSG00000000194,33,Gpr107
ENSMUSG00000000197,34,Nalcn
ENSMUSG00000000202,35,Btbd17
ENSMUSG00000000204,36,Slfn4
ENSMUSG00000000214,37,Th
ENSMUSG00000000215,38,Ins2
ENSMUSG00000000216,39,Scnn1g
ENSMUSG00000000223,40,Drp2
ENSMUSG00000000244,41,Tspan32
ENSMUSG00000000247,42,Lhx2
ENSMUSG00000000248,43,Clec2g
ENSMUSG00000000253,44,Gmpr
ENSMUSG00000000263,45,Glra1
ENSMUSG00000000266,46,Mid2
ENSMUSG00000000275,47,Trim25
ENSMUSG00000000276,48,Dgke
ENSMUSG00000000278,49,Scpep1
ENSMUSG00000000282,50,Mnt
ENSMUSG00000000290,51,Itgb2
ENSMUSG00000000295,52,Hddc2
ENSMUSG00000000296,53,Tpd52l1
ENSMUSG00000000301,54,Pemt
ENSMUSG00000000303,55,Cdh1
ENSMUSG00000000305,56,Cdh4
ENSMUSG00000000308,57,Ckmt1
ENSMUSG00000000317,58,Bcl6b
ENSMUSG00000000318,59,Clec10a
ENSMUSG00000000320,60,Alox12
ENSMUSG00000000325,61,Arvcf
ENSMUSG00000000326,62,Comt
ENSMUSG00000000339,63,Rtca
ENSMUSG00000000340,64,Dbt
ENSMUSG00000000346,65,Dazap2
ENSMUSG00000000355,66,Mcts1
ENSMUSG00000000359,67,Rem1
ENSMUSG00000000365,68,Rnf17
ENSMUSG00000000374,69,Trappc10
ENSMUSG00000000378,70,Ccm2
ENSMUSG00000000381,71,Wap
ENSMUSG00000000384,72,Tbrg4
ENSMUSG00000000385,73,Tmprss2
ENSMUSG00000000386,74,Mx1
ENSMUSG00000000392,75,Fap
ENSMUSG00000000394,76,Gcg
ENSMUSG00000000399,77,Ndufa9
ENSMUSG00000000402,78,Egfl6
ENSMUSG00000000409,79,Lck
ENSMUSG00000000411,80,Tssk3
ENSMUSG00000000416,81,Cttnbp2
ENSMUSG00000000420,82,Galnt1
ENSMUSG00000000435,83,Myf5
ENSMUSG00000000439,84,Mkrn2
ENSMUSG00000000440,85,Pparg
ENSMUSG00000000441,86,Raf1
ENSMUSG00000000486,87,Sept1
ENSMUSG00000000489,88,Pdgfb
ENSMUSG00000000530,89,Acvrl1
ENSMUSG00000000531,90,Grasp
ENSMUSG00000000532,91,Acvr1b
ENSMUSG00000000538,92,Tom1l2
ENSMUSG00000000544,93,Gpa33
ENSMUSG00000000552,94,Zfp385a
ENSMUSG00000000555,95,Itga5
ENSMUSG00000000560,96,Gabra2
ENSMUSG00000000561,97,Wdr77
ENSMUSG00000000562,98,Adora3
ENSMUSG00000000563,99,Atp5f1
ENSMUSG00000000567,100,Sox9
ENSMUSG00000000568,101,Hnrnpd
ENSMUSG00000000579,102,Dynlt1c
ENSMUSG00000000581,103,C1d
ENSMUSG00000000594,104,Gm2a
ENSMUSG00000000600,105,Krit1
ENSMUSG00000000605,106,Clcn4
ENSMUSG00000000606,107,Vmn2r88
ENSMUSG00000000617,108,Grm6
ENSMUSG00000000627,109,Sema4f
ENSMUSG00000000628,110,Hk2
ENSMUSG00000000631,111,Myo18a
ENSMUSG00000000632,112,Sez6
ENSMUSG00000000673,113,Haao
ENSMUSG00000000682,114,Cd52
ENSMUSG00000000686,115,Abhd15
ENSMUSG00000000690,116,Hoxb6
ENSMUSG00000000693,117,Loxl3
ENSMUSG00000000701,118,Tcl1b5
ENSMUSG00000000706,119,Btn1a1
ENSMUSG00000000708,120,Kat2b
ENSMUSG00000000711,121,Rab5b
ENSMUSG00000000724,122,Cryba1
ENSMUSG00000000730,123,Dnmt3l
ENSMUSG00000000731,124,Aire
ENSMUSG00000000732,125,Icosl
ENSMUSG00000000738,126,Spg7
ENSMUSG00000000739,127,Sult5a1
ENSMUSG00000000740,128,Rpl13
ENSMUSG00000000743,129,Chmp1a
ENSMUSG00000000751,130,Rpa1
ENSMUSG00000000753,131,Serpinf1
ENSMUSG00000000759,132,Tubgcp3
ENSMUSG00000000766,133,Oprm1
ENSMUSG00000000776,134,Polr3d
ENSMUSG00000000782,135,Tcf7
ENSMUSG00000000787,136,Ddx3x
ENSMUSG00000000791,137,Il12rb1
ENSMUSG00000000792,138,Slc5a5
ENSMUSG00000000794,139,Kcnn3
ENSMUSG00000000804,140,Usp32
ENSMUSG00000000805,141,Car4
ENSMUSG00000000811,142,Txnrd3
ENSMUSG00000000817,143,Fasl
ENSMUSG00000000823,144,Zfp512b
ENSMUSG00000000826,145,Dnajc5
ENSMUSG00000000827,146,Tpd52l2
ENSMUSG00000000838,147,Fmr1
ENSMUSG00000000861,148,Bcl11a
ENSMUSG00000000869,149,Il4
ENSMUSG00000000876,150,Pxmp4
ENSMUSG00000000881,151,Dlg3
ENSMUSG00000000884,152,Gnb1l
ENSMUSG00000000889,153,Dbh
ENSMUSG00000000901,154,Mmp11
ENSMUSG00000000902,155,Smarcb1
ENSMUSG00000000903,156,Vpreb3
ENSMUSG00000000915,157,Hip1r
ENSMUSG00000000916,158,Nsun5
ENSMUSG00000000934,159,Top1mt
ENSMUSG00000000938,160,Hoxa10
ENSMUSG00000000942,161,Hoxa4
ENSMUSG00000000948,162,Gm38393
ENSMUSG00000000957,163,Mmp14
ENSMUSG00000000958,164,Slc7a7
ENSMUSG00000000959,165,Oxa1l
ENSMUSG00000000976,166,Heatr6
ENSMUSG00000000982,167,Ccl3
ENSMUSG00000000983,168,Wfdc18
ENSMUSG00000001014,169,Icam4
ENSMUSG00000001016,170,Ilf2
ENSMUSG00000001017,171,Chtop
ENSMUSG00000001018,172,Snapin
ENSMUSG00000001020,173,S100a4
ENSMUSG00000001021,174,S100a3
ENSMUSG00000001023,175,S100a5
ENSMUSG00000001025,176,S100a6
ENSMUSG00000001027,177,Scn4a
ENSMUSG00000001029,178,Icam2
ENSMUSG00000001034,179,Mapk7
ENSMUSG00000001036,180,Epn2
ENSMUSG00000001039,181,B9d1
ENSMUSG00000001052,182,Sec24b
ENSMUSG00000001053,183,N4bp3
ENSMUSG00000001054,184,Rmnd5b
ENSMUSG00000001056,185,Nhp2
ENSMUSG00000001062,186,Vps9d1
ENSMUSG00000001065,187,Zfp276
ENSMUSG00000001076,188,C1ql4
ENSMUSG00000001082,189,Mfsd10
ENSMUSG00000001089,190,Luzp1
ENSMUSG00000001095,191,Slc13a2
ENSMUSG00000001098,192,Kctd10
ENSMUSG00000001100,193,Poldip2
