"id_with_url","name","location","species","feature_type","description"
"64243","Snord116","7:59675990-59676079:-1","Mouse","Gene"," Snord116 (RefSeq gene name) is associated with Gene 64243"
"ENSMUSG00000096475","Snord116l1","7:59894620-59894713:-1","Mouse","Gene","small nucleolar RNA, C/D box 116-like 1 [Source:MGI Symbol;Acc:MGI:1927532]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096475"
"ENSMUSG00000096759","Snord116l2","7:59876933-59877026:-1","Mouse","Gene","small nucleolar RNA, C/D box 116-like 2 [Source:MGI Symbol;Acc:MGI:1927533]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096759"
"ENSMUSG00000093802","Gm23619","7:59804471-59804564:-1","Mouse","Gene","predicted gene, 23619 [Source:MGI Symbol;Acc:MGI:5453396]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000093802"
"ENSMUSG00000093869","Gm22631","7:59781780-59781873:-1","Mouse","Gene","predicted gene, 22631 [Source:MGI Symbol;Acc:MGI:5452408]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000093869"
"ENSMUSG00000093929","Gm23862","7:59673461-59673554:-1","Mouse","Gene","predicted gene, 23862 [Source:MGI Symbol;Acc:MGI:5453639]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000093929"
"ENSMUSG00000093971","Gm23359","7:59889593-59889686:-1","Mouse","Gene","predicted gene, 23359 [Source:MGI Symbol;Acc:MGI:5453136]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000093971"
"ENSMUSG00000093974","Gm23357","7:59861731-59861824:-1","Mouse","Gene","predicted gene, 23357 [Source:MGI Symbol;Acc:MGI:5453134]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000093974"
"ENSMUSG00000094039","Gm24658","7:59887057-59887150:-1","Mouse","Gene","predicted gene, 24658 [Source:MGI Symbol;Acc:MGI:5454435]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094039"
"ENSMUSG00000094060","Gm25157","7:59779250-59779343:-1","Mouse","Gene","predicted gene, 25157 [Source:MGI Symbol;Acc:MGI:5454934]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094060"
"ENSMUSG00000094109","Gm22776","7:59764088-59764181:-1","Mouse","Gene","predicted gene, 22776 [Source:MGI Symbol;Acc:MGI:5452553]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094109"
"ENSMUSG00000094218","Gm23446","7:59766611-59766704:-1","Mouse","Gene","predicted gene, 23446 [Source:MGI Symbol;Acc:MGI:5453223]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094218"
"ENSMUSG00000094274","Gm22289","7:59904755-59904848:-1","Mouse","Gene","predicted gene, 22289 [Source:MGI Symbol;Acc:MGI:5452066]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094274"
"ENSMUSG00000094287","Gm26433","7:59859214-59859307:-1","Mouse","Gene","predicted gene, 26433 [Source:MGI Symbol;Acc:MGI:5456210]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094287"
